ContentID,MY_AI,MY_FK,content_quality_finally,dep_DD,dep_MDD
news_plf11s00433,0,1,poor,"[0, 0, 0, 17, 2, 0, 4, 2, 2, 2, 0, 2, 3, 13, 16]",1.26
news_plf11s00434,0,1,average,"[0, 11, 188, 45]",4.35714286
news_plf11s00435,0,1,poor,"[15, 2, 0, 225]",4.32142857
news_plf11s00436,0,1,poor,"[60, 3, 0, 71, 6, 14]",2.44444444
news_plf11s00437,0,1,poor,"[3, 2, 2, 0, 69, 64, 6]",2.8627451
news_plf11s00438,0,1,average,"[23, 2, 0, 128, 2]",3.03921569
news_plf11s00439,0,1,poor,"[16, 2, 0, 0, 125, 28, 0]",3.22641509
news_plf11s00440,0,1,average,"[0, 144, 45]",3.78
news_plf11s00441,0,1,poor,"[19, 2, 0, 5, 0, 6, 8, 187]",4.05357143
news_plf11s00443,0,1,poor,"[12, 2, 0, 162, 7]",3.8125
news_plf11s00444,0,1,poor,"[13, 8, 0, 49, 83]",2.68421053
news_plf11s00445,0,1,average,"[30, 3, 0, 136, 103]",4.61016949
news_plf11s00446,0,1,average,"[5, 96, 35]",3.02222222
news_plf11s00447,0,1,average,"[42, 2, 0, 95, 79]",3.25373134
news_plf11s00448,0,1,poor,"[1, 2, 0, 33, 0, 126, 24]",3.38181818
news_plf11s00449,0,1,poor,"[40, 2, 0, 50, 103]",3.42105263
news_plf11s00450,0,1,poor,"[1, 2, 0, 134, 38]",3.80434783
news_plf11s00451,0,1,poor,"[17, 2, 0, 167]",3.72
news_plf11s00452,0,1,poor,"[9, 0, 3, 7, 63, 58]",2.8
news_plf11s00453,0,1,poor,"[1, 19, 2, 0, 133]",3.44444444
news_plf11s00454,0,1,poor,"[27, 4, 0, 195]",4.03571429
news_plf11s00455,0,1,poor,"[43, 2, 0, 8, 105]",2.5483871
news_plf11s00456,0,1,poor,"[38, 2, 0, 5, 0, 1, 1, 151]",3.47368421
news_plf11s00457,0,1,average,"[39, 2, 0, 182, 3]",4.18518519
news_plf11s00458,0,1,poor,"[0, 11, 2, 0, 75, 41]",3.14634146
news_plf11s00459,0,1,average,"[8, 3, 0, 13, 80, 28]",2.64
news_plf11s00460,0,1,good,"[26, 2, 0, 81, 41, 0]",2.83018868
news_plf11s00461,0,1,poor,"[9, 2, 0, 129]",2.9787234
news_plf11s00462,0,1,good,"[4, 2, 0, 144]",4.16666667
news_plf11s00463,0,1,poor,"[66, 0, 25, 122]",3.55
news_plf11s00464,0,1,average,"[36, 22, 39, 36]",2.50943396
news_plf11s00465,0,1,poor,"[0, 2, 0, 7, 167]",3.82608696
news_plf11s00466,0,1,poor,"[2, 2, 0, 215]",5.09302326
news_plf11s00467,0,1,poor,"[11, 8, 0, 41, 1, 82]",2.69811321
news_plf11s00468,0,1,poor,"[6, 6, 2, 0, 61, 31]",2.35555556
news_plf11s00469,0,1,poor,"[12, 115, 37]",3.4893617
news_plf11s00470,0,1,good,"[21, 192]",5.07142857
news_plf11s00471,0,1,poor,"[14, 2, 0, 191, 1]",4.42553191
news_plf11s00472,0,1,poor,"[45, 2, 0, 91, 88]",3.64516129
news_plf11s00473,0,1,average,"[10, 2, 0, 205]",5.56410256
news_plf11s00474,0,1,poor,"[9, 2, 0, 79, 55]",2.45762712
news_plf11s00475,0,1,poor,"[27, 264]",5.59615385
news_plf11s00476,0,1,average,"[27, 2, 0, 127, 12]",3
news_plf11s00477,0,1,poor,"[14, 2, 0, 145, 18]",3.25454545
news_plf11s00478,0,1,average,"[8, 35, 2, 0, 53, 17, 3, 17]",2.109375
news_plf11s00479,0,1,poor,"[8, 3, 2, 0, 76, 58]",3.0625
news_plf11s00480,0,1,average,"[23, 2, 0, 6, 165, 0]",3.84313725
news_plf11s00481,0,1,poor,"[11, 2, 0, 225]",4.1754386
news_plf11s00482,0,1,poor,"[20, 119, 19, 42]",3.57142857
news_plf11s00483,0,1,poor,"[10, 2, 0, 18, 33, 65, 17]",2.5
news_plf11s00484,0,1,poor,"[1, 8, 0, 20, 116]",3.08510638
news_plf11s00485,0,1,poor,"[42, 117, 63, 1]",4.46
news_plf11s00486,0,1,good,"[4, 123, 70]",3.71698113
news_plf11s00487,0,1,average,"[5, 2, 0, 41, 76]",2.81818182
news_plf11s00488,0,1,average,"[35, 2, 0, 87, 56]",3.10344828
news_plf11s00489,0,1,average,"[36, 62, 30, 82, 21, 70]",3.38202247
news_plf11s00490,0,1,poor,"[1, 2, 0, 211]",4.36734694
news_plf11s00491,0,1,poor,"[61, 2, 0, 163]",4.03571429
news_plf11s00492,0,1,poor,"[24, 2, 0, 144, 34]",3.77777778
news_plf11s00493,0,1,poor,"[19, 2, 0, 106, 0]",2.76086957
news_plf11s00494,0,1,good,"[8, 2, 0, 668]",9.97058824
news_plf11s00495,0,1,poor,"[54, 2, 0, 8, 6, 2, 2, 2, 0, 2, 2, 1]",1.72340426
news_plf11s00496,0,1,average,"[6, 2, 0, 75, 50]",2.89130435
news_plf11s00497,0,1,poor,"[55, 4, 0, 40, 33, 34]",2.63492063
news_plf11s00498,0,1,average,"[20, 2, 0, 215, 0]",4.23214286
news_plf11s00499,0,1,poor,"[14, 2, 0, 0, 108]",2.88372093
news_plf11s00500,0,1,good,"[12, 2, 0, 30, 9, 13, 90]",2.78571429
news_plf11s00501,0,1,average,"[18, 287, 0]",6.2244898
news_plf11s00502,0,1,poor,"[24, 79, 23, 2]",2.7826087
news_plf11s00503,0,1,poor,"[29, 2, 0, 72, 107]",3.33333333
news_plf11s00504,0,1,poor,"[36, 4, 0, 149]",3.43636364
news_plf11s00505,0,1,good,"[47, 2, 0, 130]",3.58
news_plf11s00506,0,1,average,"[21, 2, 0, 236]",4.98076923
news_plf11s00507,0,1,average,"[23, 30, 29, 36]",2.68181818
news_plf11s00508,0,1,poor,"[2, 111, 41, 2]",4.10526316
news_plf11s00509,0,1,poor,"[24, 1]",2.5
news_plf11s00510,0,1,poor,"[29, 6, 2, 2, 0, 22, 14, 54]",2.1147541
news_plf11s00511,0,1,average,"[21, 8, 0, 126, 13]",3.11111111
news_plf11s00512,0,1,average,"[27, 2, 0, 131]",3.63636364
news_plf11s00513,0,1,poor,"[19, 247]",5.32
news_plf11s00514,0,1,poor,"[8, 2, 0, 33, 134, 9]",3.44444444
news_plf11s00515,0,1,average,"[31, 8, 0, 3, 94]",2.7755102
news_plf11s00516,0,1,poor,"[9, 2, 0, 24, 9, 24, 24, 0]",1.73584906
news_plf11s00517,0,1,poor,"[24, 2, 0, 308]",5.21875
news_plf11s00518,0,1,average,"[1, 7, 2, 0, 8, 104, 0]",2.77272727
news_plf11s00519,0,1,poor,"[31, 2, 0, 0, 51, 27]",2.41304348
news_plf11s00520,0,1,poor,"[17, 2, 0, 58, 0, 1, 5, 1, 0, 23]",2.22916667
news_plf11s00521,0,1,poor,"[49, 2, 0, 0, 216]",4.85454545
news_plf11s00522,0,1,average,"[5, 8, 0, 166, 19]",3.80769231
news_plf11s00523,0,1,average,"[60, 2, 0, 63, 34, 44]",3.12307692
news_plf11s00524,0,1,good,"[15, 185, 15]",4.21568627
news_plf11s00525,0,1,poor,"[27, 2, 0, 8, 6, 2, 2, 2, 0, 2, 2, 1]",1.2
news_plf11s00526,0,1,average,"[9, 2, 0, 165, 20]",3.84313725
news_plf11s00527,0,1,average,"[25, 2, 0, 147, 13]",3.28070175
news_plf11s00528,0,1,poor,"[48, 2, 0, 96, 62]",3.5862069
news_plf11s00529,0,1,average,"[15, 8, 0, 185, 0]",4.07843137
news_plf11s00530,0,1,average,"[69, 249]",5.48275862
news_plf11s00531,0,1,average,"[29, 167, 79]",4.10447761
news_plf11s00532,0,1,poor,"[49, 2, 0, 9, 78]",3
news_plf11s00533,0,1,poor,"[36, 2, 0, 114, 25]",3.21818182
news_plf11s00534,0,1,average,"[37, 65, 32, 34]",2.8
news_plf11s00535,0,1,poor,"[15, 2, 0, 257]",4.80701754
news_plf11s00536,0,1,poor,"[49, 2, 0, 16, 1, 26]",2.08888889
news_plf11s00537,0,1,average,"[9, 2, 0, 137]",3.7
news_plf11s00538,0,1,poor,"[19, 15, 2, 0, 193]",3.94827586
news_plf11s00539,0,1,poor,"[24, 2, 0, 85, 21]",2.80851064
news_plf11s00540,0,1,average,"[5, 167, 16]",4.37209302
news_plf11s00541,0,1,average,"[14, 2, 0, 190]",3.67857143
news_plf11s00543,0,1,poor,"[18, 49, 87]",3.27659574
news_plf11s00544,0,1,good,"[9, 2, 0, 37, 51]",2.41463415
news_plf11s00545,0,1,average,"[52, 2, 0, 57, 9, 4]",2.1754386
news_plf11s00546,0,1,poor,"[15, 2, 0, 36, 87, 0]",3.04347826
news_plf11s00547,0,1,poor,"[62, 205, 19]",4.61290323
news_plf11s00548,0,1,poor,"[15, 2, 0, 163, 14]",3.95918367
news_plf11s00549,0,1,poor,"[0, 41, 60, 3, 15]",2.90243902
news_plf11s00550,0,1,average,"[3, 8, 0, 50, 44, 6, 0]",2.3125
news_plf11s00551,0,1,good,"[20, 267]",5.62745098
news_plf11s00552,0,1,average,"[46, 2, 0, 53, 115]",3.92727273
news_plf11s00553,0,1,poor,"[26, 2, 0, 111, 4]",3.25
news_plf11s00554,0,1,poor,"[53, 122, 65]",3.28767123
news_plf11s00555,0,1,poor,"[4, 0, 18, 182]",4.25
news_plf11s00556,0,1,average,"[19, 81, 68, 0]",3.36
news_plf11s00557,0,1,average,"[6, 47, 57]",2.75
news_plf11s00558,0,1,average,"[5, 2, 0, 54, 42]",2.51219512
news_plf11s00559,0,1,poor,"[7, 2, 0, 83, 58, 1]",3.2826087
news_plf11s00560,0,1,average,"[14, 2, 0, 228]",4.51851852
news_plf11s00561,0,1,poor,"[39, 2, 0, 81]",3.21052632
news_plf11s00562,0,1,poor,"[6, 2, 0, 234]",4.93877551
news_plf11s00563,0,1,poor,"[76, 2, 0, 8, 6, 2, 2]",2.18181818
news_plf11s00564,0,1,average,"[5, 4, 0, 39, 139]",3.66666667
news_plf11s00565,0,1,poor,"[39, 2, 0, 0, 236]",5.22641509
news_plf11s00566,0,1,average,"[29, 2, 0, 22, 124]",3.54
news_plf11s00567,0,1,poor,"[3, 17, 1, 59, 48, 1]",3.14634146
news_plf11s00568,0,1,poor,"[2, 111, 9]",3.58823529
news_plf11s00569,0,1,poor,"[66, 8, 0, 1, 0, 21, 40]",2.47272727
news_plf11s00570,0,1,poor,"[38, 4]",2.47058824
news_plf11s00571,0,1,poor,"[77, 2, 0, 57, 129, 1]",4.03030303
news_plf11s00572,0,1,poor,"[10, 2, 0, 227]",4.26785714
news_plf11s00573,0,1,average,"[40, 2, 0, 149]",3.82
news_plf11s00574,0,1,poor,"[25, 0, 103, 30]",2.92592593
news_plf11s00575,0,1,poor,"[92, 2, 0, 234]",4.55555556
news_plf11s00576,0,1,poor,"[10, 5, 110, 79, 52]",3.76470588
news_plf11s00577,0,1,poor,"[37, 2, 0, 6, 12, 80]",2.53703704
news_plf11s00578,0,1,poor,"[22, 203, 17]",4.4
news_plf11s00579,0,1,poor,"[46, 2, 0, 99, 96]",3.85714286
news_plf11s00580,0,1,good,"[24, 2, 0, 42, 67]",3
news_plf11s00581,0,1,poor,"[2, 28, 2, 0, 213]",5.10416667
news_plf11s00582,0,1,poor,"[19, 4, 2, 0, 73]",2.72222222
news_plf11s00583,0,1,average,"[63, 2, 0, 3, 163, 0]",3.44776119
news_plf11s00584,0,1,poor,"[16, 19, 2, 0, 49, 56]",2.62962963
news_plf11s00585,0,1,average,"[17, 2, 0, 62, 41]",2.48979592
news_plf11s00586,0,1,average,"[0, 86, 72]",3.95
news_plf11s00587,0,1,good,"[24, 136, 103]",4.96226415
news_plf11s00588,0,1,poor,"[13, 2, 0, 10, 3, 2, 0, 62]",1.95744681
news_plf11s00589,0,1,poor,"[12, 8, 0, 49, 83]",2.66666667
news_plf11s00590,0,1,poor,"[21, 20, 2, 0, 230]",4.07462687
news_plf11s00591,0,1,poor,"[4, 2, 0, 221, 6]",4.95744681
news_plf11s00592,0,1,poor,"[16, 6, 11, 0, 34, 13]",2
news_plf11s00594,0,1,poor,"[46, 2, 0, 57, 129, 1]",3.73015873
news_plf11s00595,0,1,poor,"[8, 16, 13, 98, 25]",2.5
news_plf11s00596,0,1,average,"[64, 6, 0, 193]",3.41558442
news_plf11s00597,0,1,average,"[2, 2, 0, 113]",3.16216216
news_plf11s00598,0,1,average,"[2, 3, 2, 9, 15, 13, 15]",1.55263158
news_plf11s00599,0,1,poor,"[29, 20, 82, 20]",2.8490566
news_plf11s00600,0,1,poor,"[23, 2, 0, 125]",3.26086957
news_plf11s00601,0,1,poor,"[0, 25, 130]",5.16666667
news_plf11s00602,0,1,average,"[17, 2, 0, 77]",2.90909091
news_plf11s00603,0,1,poor,"[3, 9, 2, 0, 8, 1, 0, 1, 33, 0, 6, 24, 0]",1.74
news_plf11s00604,0,1,poor,"[24, 2, 0, 56, 92]",3.34615385
news_plf11s00605,0,1,poor,"[69, 38, 21, 53]",3.23214286
news_plf11s00606,0,1,poor,"[14, 2, 0, 164, 10]",3.87755102
news_plf11s00607,0,1,poor,"[59, 2, 0, 16, 57, 30]",2.64516129
news_plf11s00608,0,1,good,"[27, 68, 62, 25]",2.84375
news_plf11s00609,0,1,poor,"[16, 2, 0, 161]",3.72916667
news_plf11s00610,0,1,poor,"[16, 0, 96]",3.86206897
news_plf11s00611,0,1,good,"[12, 269, 21]",5.92156863
news_plf11s00612,0,1,average,"[22, 2, 0, 149]",3.76086957
news_plf11s00613,0,1,poor,"[42, 8, 0, 14, 193, 13]",3.50649351
news_plf11s00614,0,1,poor,"[28, 25, 27, 42, 85]",3
news_plf11s00615,0,1,good,"[23, 32, 123]",3.56
news_plf11s00616,0,1,average,"[44, 2, 0, 42, 32, 26]",2.43333333
news_plf11s00617,0,1,average,"[41, 8, 0, 130, 7]",2.95238095
news_plf11s00618,0,1,poor,"[103, 105, 16]",3.67213115
news_plf11s00619,0,1,average,"[35, 2, 0, 257]",4.9
news_plf11s00620,0,1,poor,"[33, 0, 2, 0, 16, 83, 9]",2.6
news_plf11s00621,0,1,poor,"[31, 2, 0, 181]",3.89090909
news_plf11s00622,0,1,average,"[17, 237, 1]",5
news_plf11s00623,0,1,average,"[46, 2, 0, 246]",4.98305085
news_plf11s00624,0,1,average,"[6, 2, 0, 81, 77, 15, 23]",2.75675676
news_plf11s00625,0,1,poor,"[51, 2, 0, 65]",2.95
news_plf11s00626,0,1,poor,"[35, 2, 0, 142, 12]",3.41071429
news_plf11s00627,0,1,poor,"[5, 2, 0, 23, 1, 85]",2.69767442
news_plf11s00628,0,1,poor,"[29, 2, 0, 165]",3.92
news_plf11s00629,0,1,average,"[1, 2, 0, 67, 46, 50, 0]",3.01818182
news_plf11s00630,0,1,poor,"[7, 8, 0, 25, 48, 32]",2.14285714
news_plf11s00631,0,1,poor,"[61, 2, 0, 134, 13]",3.68421053
news_plf11s00632,0,1,poor,"[36, 2, 0, 1, 1, 150, 3]",3.64150943
news_plf11s00633,0,1,poor,"[95, 2, 0, 220]",4.73134328
news_plf11s00634,0,1,average,"[21, 2, 0, 97, 7]",3.02380952
news_plf11s00635,0,1,average,"[12, 4, 0, 155]",3.8
news_plf11s00636,0,1,poor,"[12, 56, 116]",3.68
news_plf11s00637,0,1,poor,"[34, 2, 0, 106, 28, 9]",2.93442623
news_plf11s00638,0,1,poor,"[25, 2, 0, 46, 68]",3.20454545
news_plf11s00639,0,1,poor,"[15, 2, 0, 76, 58]",3.08163265
news_plf11s00640,0,1,poor,"[176, 34, 8, 70, 68, 5]",4.10227273
news_plf11s00641,0,1,average,"[30, 2, 0, 149, 65]",4.1
news_plf11s00642,0,1,good,"[49, 8, 0, 52, 209]",4.24
news_plf11s00643,0,1,good,"[20, 2, 0, 156, 18]",3.56363636
news_plf11s00644,0,1,poor,"[25, 161, 33]",3.84210526
news_plf11s00645,0,1,poor,"[18, 8, 0, 31, 177]",4.10526316
news_plf11s00646,0,1,poor,"[98, 2, 0, 155, 4]",3.7
news_plf11s00647,0,1,poor,"[31, 2, 0, 48]",2.7
news_plf11s00648,0,1,average,"[50, 2, 0, 364]",5.47368421
news_plf11s00649,0,1,poor,"[47, 2, 0, 103, 9]",2.92727273
news_plf11s00650,0,1,poor,"[32, 2, 0, 92, 7]",2.55769231
news_plf11s00651,0,1,poor,"[54, 250, 5]",5.06557377
news_plf11s00652,0,1,poor,"[45, 2, 0, 7, 106]",2.71186441
news_plf11s00653,0,1,good,"[14, 2, 0, 254]",5.625
news_plf11s00654,0,1,poor,"[248, 2, 0, 112, 18]",4.75
news_plf11s00655,0,1,average,"[3, 46, 164, 47, 80]",4.35897436
news_plf11s00656,0,1,poor,"[24, 2, 0, 32, 118]",3.2
news_plf11s00657,0,1,poor,"[80, 2, 89, 36]",3.69642857
news_plf11s00658,0,1,poor,"[22, 2, 0, 143, 41]",3.64912281
news_plf11s00660,0,1,poor,"[13, 19, 2, 0, 96, 0, 45]",2.69230769
news_plf11s00661,0,1,average,"[22, 2, 0, 234]",5.60869565
news_plf11s00662,0,1,poor,"[33, 2, 0, 62]",2.93939394
news_plf11s00663,0,1,poor,"[48, 2, 0, 87, 82]",3.53225806
news_plf11s00664,0,1,poor,"[18, 2, 0, 1, 56, 63]",2.59259259
news_plf11s00665,0,1,poor,"[28, 2, 0, 240, 3]",4.2
news_plf11s00666,0,1,poor,"[72, 2, 0, 325]",6.13846154
news_plf11s00667,0,1,poor,"[49, 8, 0, 12, 2, 1, 112]",3.06666667
news_plf11s00668,0,1,poor,"[12, 8, 0, 38, 6, 57, 0]",2.28301887
news_plf11s00669,0,1,average,"[32, 2, 0, 40, 98, 29]",2.95588235
news_plf11s00670,0,1,poor,"[81, 265, 42]",5.17333333
news_plf11s00671,0,1,average,"[33, 89, 105, 34, 23]",3.59493671
news_plf11s00673,0,1,poor,"[0, 2, 0, 21, 83, 25]",2.56862745
news_plf11s00674,0,1,poor,"[23, 2, 0, 23, 21, 25]",2.13636364
news_plf11s00675,0,1,poor,"[80, 2, 0, 44, 124]",4.23728814
news_plf11s00676,0,1,poor,"[24, 2, 0, 214]",4.70588235
news_plf11s00677,0,1,poor,"[28, 2, 0, 219]",4.44642857
news_plf11s00678,0,1,poor,"[41, 2, 0, 12, 26, 127, 45]",3.28571429
news_plf11s00679,0,1,good,"[23, 2, 0, 154, 5]",3.53846154
news_plf11s00680,0,1,poor,"[18, 2, 0, 18, 180]",3.69491525
news_plf11s00681,0,1,average,"[8, 2, 0, 206]",4
news_plf11s00682,0,1,poor,"[18, 2, 0, 86, 52]",2.92592593
news_plf11s00683,0,1,poor,"[51, 4, 0, 71, 5, 6]",2.58490566
news_plf11s00684,0,1,poor,"[29, 32, 46, 84]",3.03174603
news_plf11s00685,0,1,poor,"[1, 8, 0, 113]",2.71111111
news_plf11s00686,0,1,poor,"[26, 186, 3]",4.3877551
news_plf11s00687,0,1,good,"[30, 2, 0, 134]",3.45833333
news_plf11s00688,0,1,poor,"[52, 44, 109]",3.30645161
news_plf11s00689,0,1,poor,"[0, 2, 0, 8, 1, 0, 59, 38]",2.51162791
news_plf11s00690,0,1,poor,"[139, 254, 2]",5.64285714
news_plf11s00691,0,1,poor,"[23, 2, 0, 219]",4.13559322
news_plf11s00692,0,1,poor,"[7, 8, 3, 2, 0, 62, 35]",2.08928571
news_plf11s00693,0,1,poor,"[21, 2, 0, 207]",3.89830508
news_plf11s00694,0,1,poor,"[14, 2, 0, 257]",4.96363636
news_plf11s00695,0,1,average,"[26, 8, 0, 205]",4.19298246
news_plf11s00696,0,1,average,"[23, 2, 0, 155, 7]",3.4
news_plf11s00697,0,1,good,"[15, 54, 80, 9]",3.03846154
news_plf11s00698,0,1,poor,"[9, 1, 2, 0, 149]",3.35416667
news_plf11s00699,0,1,poor,"[38, 2, 0, 1, 8, 71, 35]",2.62711864
news_plf11s00700,0,1,good,"[47, 2, 0, 77, 28]",2.90566038
news_plf11s00701,0,1,poor,"[22, 2, 0, 203, 18]",4.29824561
news_plf11s00703,0,1,poor,"[15, 2, 0, 105, 24]",2.56140351
news_plf11s00704,0,1,average,"[6, 2, 0, 5, 40, 83]",2.83333333
news_plf11s00705,0,1,poor,"[24, 2, 0, 101, 10]",2.79591837
news_plf11s00706,0,1,average,"[21, 2, 0, 28, 38, 20]",2.01851852
news_plf11s00707,0,1,poor,"[24, 2, 0, 120, 15]",3.35416667
news_plf11s00708,0,1,average,"[32, 285]",5.56140351
news_plf11s00709,0,1,poor,"[24, 2, 0, 134, 19]",3.31481481
news_plf11s00710,0,1,poor,"[32, 94, 26, 0]",3.37777778
news_plf11s00711,0,1,poor,"[4, 2, 0, 112]",3.18918919
news_plf11s00712,0,1,poor,"[25, 1, 35, 66, 30, 0]",3.07843137
news_plf11s00713,0,1,average,"[32, 2, 0, 163]",3.33898305
news_plf11s00714,0,1,average,"[11, 2, 0, 291]",4.67692308
news_plf11s00715,0,1,poor,"[34, 8, 0, 232]",4.21538462
news_plf11s00716,0,1,poor,"[26, 2, 0, 149, 23]",3.33333333
news_plf11s00717,0,1,poor,"[87, 2, 0, 15, 2, 18, 19]",2.30645161
news_plf11s00718,0,1,poor,"[3, 2, 0, 147, 8]",3.55555556
news_plf11s00719,0,1,poor,"[12, 2, 0, 16, 18, 24, 53]",2.45098039
